# time [day]	pore area covered [%]	pore size	pore id	experiment id
0	0	200	1	1
1	0.000238073	200	1	1
4	1.99522	200	1	1
7	20.59876	200	1	1
10	75.29352	200	1	1
14	101.0051	200	1	1
18	101.0879	200	1	1
28	100.8667	200	1	1
				
0	0	200	1	2
1	0.000259775	200	1	2
4	2.215234	200	1	2
7	10.81946	200	1	2
10	23.82772	200	1	2
14	101.2058	200	1	2
18	101.5138	200	1	2
28	101.1322	200	1	2
				
0	0	200	1	3
1	2.006972	200	1	3
4	8.381646	200	1	3
7	5.738186	200	1	3
10	69.236	200	1	3
14	100.6818	200	1	3
18	nan	200	1	3
28	100.8934	200	1	3
				
0	0	200	2	1
1	0.000232861	200	2	1
4	0.9904423	200	2	1
7	20.74565	200	2	1
10	99.073	200	2	1
14	100.3651	200	2	1
18	101.0747	200	2	1
28	101.2038	200	2	1
				
0	0	200	2	2
1	0.00026799	200	2	2
4	1.843954	200	2	2
7	10.60375	200	2	2
10	44.93472	200	2	2
14	100.5047	200	2	2
18	101.4071	200	2	2
28	101.0524	200	2	2
				
0	0	200	2	3
1	1.387098	200	2	3
4	9.545946	200	2	3
7	9.220773	200	2	3
10	55.46325	200	2	3
14	100.9244	200	2	3
18	nan	200	2	3
28	100.9829	200	2	3
				
0	0	200	3	1
1	0.000275249	200	3	1
4	2.108883	200	3	1
7	17.9858	200	3	1
10	57.41582	200	3	1
14	100.9577	200	3	1
18	101.0631	200	3	1
28	101.33	200	3	1
				
0	0	200	3	2
1	0.00026303	200	3	2
4	5.426523	200	3	2
7	10.95637	200	3	2
10	30.78089	200	3	2
14	101.2786	200	3	2
18	101.2035	200	3	2
28	100.9993	200	3	2
				
0	0	200	3	3
1	0.000476841	200	3	3
4	6.558436	200	3	3
7	10.05391	200	3	3
10	66.77684	200	3	3
14	101.1012	200	3	3
18	nan	200	3	3
28	101.302	200	3	3
				
0	0	200	4	1
1	0.000521935	200	4	1
4	0.9050354	200	4	1
7	8.478173	200	4	1
10	68.65883	200	4	1
14	100.8598	200	4	1
18	101.3304	200	4	1
28	101.1575	200	4	1
				
0	0	200	4	2
1	0.8985643	200	4	2
4	1.749592	200	4	2
7	22.06202	200	4	2
10	60.86474	200	4	2
14	99.85419	200	4	2
18	101.4079	200	4	2
28	100.9685	200	4	2
				
0	0	200	4	3
1	2.546793	200	4	3
4	8.54088	200	4	3
7	9.068596	200	4	3
10	51.32773	200	4	3
14	100.9508	200	4	3
18	nan	200	4	3
28	101.0139	200	4	3
				
0	0	200	5	1
1	0	200	5	1
4	1.668576	200	5	1
7	30.22082	200	5	1
10	60.97161	200	5	1
14	101.1071	200	5	1
18	101.2605	200	5	1
28	101.0618	200	5	1
				
0	0	200	5	2
1	2.31753	200	5	2
4	3.910351	200	5	2
7	16.3403	200	5	2
10	66.42578	200	5	2
14	101.0928	200	5	2
18	101.4483	200	5	2
28	101.0889	200	5	2
				
0	0	200	5	3
1	0	200	5	3
4	8.708729	200	5	3
7	6.238308	200	5	3
10	92.61787	200	5	3
14	101.0848	200	5	3
18	nan	200	5	3
28	101.2431	200	5	3
				
0	0	200	6	1
1	0	200	6	1
4	4.885078	200	6	1
7	28.40466	200	6	1
10	68.79859	200	6	1
14	101.0728	200	6	1
18	101.3184	200	6	1
28	101.565	200	6	1
				
0	0	200	6	2
1	0	200	6	2
4	11.53484	200	6	2
7	14.77381	200	6	2
10	85.21457	200	6	2
14	100.9705	200	6	2
18	101.9273	200	6	2
28	101.0155	200	6	2
				
0	0	200	6	3
1	3.653295	200	6	3
4	8.802143	200	6	3
7	3.050702	200	6	3
10	51.28312	200	6	3
14	101.2526	200	6	3
18	nan	200	6	3
28	101.1801	200	6	3
				
0	0	200	7	1
1	0	200	7	1
4	2.127201	200	7	1
7	22.58035	200	7	1
10	95.68125	200	7	1
14	100.9186	200	7	1
18	101.0821	200	7	1
28	101.2326	200	7	1
				
0	0	200	7	2
1	0.000486921	200	7	2
4	6.680075	200	7	2
7	20.47227	200	7	2
10	91.23231	200	7	2
14	101.2534	200	7	2
18	101.5191	200	7	2
28	100.9582	200	7	2
				
0	0	200	7	3
1	0.000519532	200	7	3
4	4.185859	200	7	3
7	9.693207	200	7	3
10	66.53555	200	7	3
14	101.077	200	7	3
18	nan	200	7	3
28	101.0824	200	7	3
				
0	0	200	8	1
1	0.000523812	200	8	1
4	4.427043	200	8	1
7	16.78867	200	8	1
10	71.74285	200	8	1
14	100.9671	200	8	1
18	101.1541	200	8	1
28	101.0994	200	8	1
				
0	0	200	8	2
1	0.000521778	200	8	2
4	7.989158	200	8	2
7	14.1157	200	8	2
10	40.8095	200	8	2
14	100.8846	200	8	2
18	101.8131	200	8	2
28	100.9223	200	8	2
				
0	0	200	8	3
1	0.000510981	200	8	3
4	9.444003	200	8	3
7	14.28662	200	8	3
10	73.13658	200	8	3
14	101.2206	200	8	3
18	nan	200	8	3
28	101.1543	200	8	3
				
0	0	200	9	1
1	0.000541647	200	9	1
4	1.597109	200	9	1
7	15.90052	200	9	1
10	69.18039	200	9	1
14	100.1948	200	9	1
18	101.0754	200	9	1
28	101.2186	200	9	1
				
0	0	200	9	2
1	0.000485503	200	9	2
4	13.84208	200	9	2
7	10.59615	200	9	2
10	51.58851	200	9	2
14	101.1246	200	9	2
18	101.6038	200	9	2
28	101.1809	200	9	2
				
0	0	0	9	3
1	0.000537178	200	9	3
4	14.18578	200	9	3
7	8.856367	200	9	3
10	73.12681	200	9	3
14	101.1164	200	9	3
18	nan	200	9	3
28	101.3187	200	9	3
