# time [day]	pore area covered [%]
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
	
1	0
1	0.05054091
1	0.0007483459
1	0
1	0.3726146
1	0.01579307
1	3.566624
1	0.0002190633
1	0.0007788985
1	0
1	0.1981614
1	0.0005762739
1	0
1	0.0003614796
1	0.1197778
1	0.6729111
1	0.000342531
1	0.0005938844
1	0
1	0.0003467757
1	0.06398457
1	0
1	0.7566704
1	0.3092012
1	0
1	0.0003533306
1	0.000685778
	
4	3.524576
4	5.003672
4	2.545303
4	2.386816
4	2.775265
4	3.989609
4	2.733951
4	2.489468
4	1.485698
4	7.117182
4	6.377432
4	5.753695
4	4.161889
4	2.966809
4	5.158692
4	3.829779
4	2.993131
4	7.564983
4	0.981346
4	0.8835404
4	2.439702
4	4.570342
4	3.319554
4	3.961599
4	1.494576
4	4.306369
4	3.837156
	
7	8.64111
7	3.719598
7	13.5716
7	13.36868
7	0.5404491
7	15.33779
7	18.98626
7	0.1685253
7	43.5183
7	4.645769
7	0.1235925
7	32.4892
7	9.351451
7	4.13767
7	21.21218
7	9.77066
7	5.270803
7	13.00943
7	0.5193445
7	4.183964
7	11.92705
7	5.477607
7	1.671382
7	17.78019
7	5.164145
7	7.24504
7	23.61338
	
10	42.89874
10	16.2253
10	25.31277
10	47.53772
10	23.34199
10	26.48792
10	32.05105
10	24.4501
10	40.54013
10	41.78606
10	13.97422
10	39.29603
10	53.43688
10	25.53772
10	24.55369
10	43.05268
10	20.88848
10	35.70792
10	86.89682
10	11.99785
10	47.88312
10	70.94335
10	17.93739
10	33.19958
10	57.22934
10	15.86533
10	38.45227
	
14	99.77298
14	100.6932
14	100.752
14	100.7194
14	100.768
14	100.7006
14	100.7444
14	89.68363
14	100.748
14	100.755
14	74.93328
14	100.4658
14	100.7961
14	53.06617
14	99.83133
14	100.736
14	32.37622
14	100.732
14	93.70577
14	101.011
14	100.2339
14	100.6873
14	98.5534
14	97.94649
14	100.5246
14	99.08295
14	100.5344
	
18	101.2131
18	101.1782
18	100.9297
18	101.2947
18	101.3075
18	101.0219
18	101.3458
18	101.2897
18	101.1206
18	101.245
18	101.0323
18	100.9403
18	101.1559
18	101.2009
18	100.9417
18	101.1889
18	101.2633
18	101.0361
18	100.3994
18	100.9469
18	100.9886
18	101.1195
18	101.1554
18	101.0708
18	101.2237
18	101.2725
18	101.1863
	
28	100.933
28	100.6911
28	100.6331
28	100.9835
28	100.7163
28	100.6684
28	101.09
28	100.7184
28	100.5992
28	100.9337
28	100.6765
28	100.7112
28	101.0048
28	100.7566
28	100.7625
28	100.9912
28	85.60853
28	100.8465
28	101.0252
28	98.27374
28	100.701
28	101.1115
28	99.97135
28	100.6164
28	101.0484
28	98.61658
28	100.6137
