time [day]	pore area covered [%]
1	0.0011
1	0.0013
1	0.0012
1	0.0054
1	0.0012
1	0.001
1	0.2794
1	0.0015
1	0.0011
1	0.0004
1	0.0004
1	0.2252
1	0.0002
1	0.0002
1	0.3913
1	0.0004
1	0.0004
1	0.0004
1	0.0015
1	0.0016
1	0.4396
1	0.2818
1	0.2081
1	0.6593
1	0.0061
1	0.4929
1	0.0998
	
4	0.6931
4	0.3896
4	0.6499
4	1.5185
4	1.4104
4	0.8299
4	0.1194
4	1.9908
4	1.2955
4	0.2404
4	0.2879
4	0.1935
4	0.2768
4	0.0606
4	0.099
4	0.1057
4	0.3892
4	0.1655
4	0.0003
4	0.2245
4	0.0003
4	0.5126
4	0.1836
4	0.004
4	5.2283
4	0.4554
4	0.3576
	
7	0.0001
7	0.0196
7	1.2076
7	0.0001
7	0.0001
7	0.002
7	0.0001
7	0.0001
7	0.0001
7	4.0803
7	6.8245
7	10.788
7	5.2396
7	10.3175
7	15.8743
7	10.6732
7	4.3103
7	4.9907
7	2.8912
7	5.8433
7	6.9354
7	3.9476
7	7.548
7	4.7327
7	2.7892
7	7.5624
7	6.972
	
10	9.2868
10	11.3272
10	18.5739
10	1.2314
10	10.749
10	7.7573
10	0.0001
10	6.6589
10	2.5029
10	14.142
10	17.5329
10	16.5966
10	22.0969
10	20.5091
10	18.9454
10	9.9213
10	18.1432
10	16.8166
10	20.0639
10	25.4782
10	18.4474
10	19.4896
10	14.2597
10	16.6623
10	17.5956
10	16.9456
10	13.8739
	
14	21.0844
14	18.0481
14	25.9533
14	42.127
14	21.8805
14	26.9797
14	35.3227
14	38.0695
14	57.8673
14	21.3862
14	29.9387
14	40.7739
14	20.0741
14	42.6872
14	49.0356
14	45.0633
14	25.6466
14	33.114
14	27.4072
14	27.5216
14	18.1788
14	38.5837
14	25.1954
14	19.6472
	
18	20.5915
18	30.0777
18	51.8076
18	29.9486
18	100.3914
18	41.7743
18	26.7389
18	55.0477
18	86.5087
18	50.7345
18	100.2641
18	34.4245
18	100.4265
18	100.3652
18	100.3534
18	100.4142
18	99.8995
18	100.3427
18	60.0052
18	38.6755
18	23.9343
18	26.1951
18	26.4601
18	26.9053
18	100.3299
18	100.336
18	39.8208
	
28	100.3815
28	100.3429
28	100.3394
28	100.3305
28	72.9683
28	100.388
28	100.3288
28	54.8976
28	100.3499
28	83.586
28	87.2905
28	100.2896
28	100.3177
28	100.3321
28	94.7022
28	87.9883
28	100.3521
28	49.2998
28	100.3496
28	57.8944
28	72.3319
28	100.3348
28	100.3415
28	100.3564
28	76.1404
28	100.3591
28	100.3561
